room_type_id,accommodation_id,name,capacity,quantity,price,discount_price,amenities,description
1016,254,Dormitory Bed (Shared),1,5,300000,270000,"Giường tầng, tủ khóa, phòng tắm chung, giá cực rẻ.",Phòng nghỉ tập thể siêu rẻ.
1017,255,Standard Double Room,2,15,800000,720000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần trung tâm hành chính.",Phòng cơ bản, sạch sẽ, giá rẻ.
1018,255,Superior Twin Room,2,10,1100000,990000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1019,255,Triple Room,3,5,1400000,1260000,"3 người, tiện nghi cơ bản, giải pháp kinh tế.",Phòng ba người, đơn giản và hiệu quả.
1020,255,Family Quad Room,4,3,1800000,1620000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1021,256,Standard Double Room,2,18,1100000,990000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần Sân bay Vũng Tàu.",Phòng cơ bản, sạch sẽ, giá hợp lý, phục vụ khách công tác.
1022,256,Superior Twin Room,2,12,1400000,1260000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1023,256,Executive Room,2,8,1900000,1710000,"Bàn làm việc, yên tĩnh hơn, thích hợp cho khách công tác.",Phòng được tối ưu cho khách cần không gian làm việc.
1024,256,Family Quad Room,4,5,2300000,2070000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1025,257,Standard Double Room,2,15,900000,810000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần khu dân cư và trường học.",Phòng cơ bản, sạch sẽ, giá rẻ.
1026,257,Superior Twin Room,2,10,1200000,1080000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1027,257,Triple Room,3,5,1600000,1440000,"3 người, tiện nghi cơ bản, giải pháp kinh tế.",Phòng ba người, đơn giản và hiệu quả.
1028,257,Family Quad Room,4,3,2000000,1800000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1029,258,Standard Double Room,2,20,700000,630000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần Bãi Sau.",Phòng cơ bản, sạch sẽ, giá siêu rẻ.
1030,258,Twin Room with Window,2,15,900000,810000,"Phòng có cửa sổ, 2 giường đơn, sạch sẽ.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1031,258,Triple Room,3,10,1200000,1080000,"3 người, tiện nghi cơ bản, tiết kiệm chi phí.",Phòng ba người, đơn giản và hiệu quả.
1032,258,Family Quad Room,4,5,1600000,1440000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1033,259,Standard Double Room,2,18,800000,720000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, nằm ở vị trí thuận tiện.",Phòng cơ bản, sạch sẽ, giá rẻ.
1034,259,Superior Twin Room,2,12,1100000,990000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1035,259,Triple Room,3,8,1400000,1260000,"3 người, tiện nghi cơ bản, giải pháp kinh tế.",Phòng ba người, đơn giản và hiệu quả.
1036,259,Family Quad Room,4,5,1800000,1620000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1037,260,Studio Apartment,2,10,1500000,1350000,"Căn hộ studio, bếp nhỏ, TV thông minh, gần các khu mua sắm.",Căn hộ studio hiện đại, phù hợp cho cặp đôi lưu trú dài ngày.
1038,260,One-Bedroom Apartment Ocean View,2,8,2500000,2250000,"Phòng ngủ và phòng khách tách biệt, view biển (một phần), bếp đầy đủ.",Căn hộ 1 phòng ngủ, mang lại sự riêng tư và tiện nghi gia đình.
1039,260,Two-Bedroom Family Apartment,4,5,4000000,3600000,"2 phòng ngủ riêng, phòng khách/ăn lớn, đầy đủ tiện nghi.",Lý tưởng cho gia đình 4 người, tận hưởng tiện ích căn hộ cao cấp.
1040,260,Three-Bedroom Apartment,6,3,5500000,4950000,"Căn hộ 3 phòng ngủ, view biển/thành phố, không gian rất lớn.",Phù hợp cho nhóm bạn hoặc gia đình đông người.
1041,261,Standard Double Room,2,18,700000,630000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần khu vực trung tâm Bãi Trước.",Phòng cơ bản, sạch sẽ, giá rẻ.
1042,261,Superior Twin Room,2,12,1000000,900000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1043,261,Triple Room,3,8,1300000,1170000,"3 người, tiện nghi cơ bản, giải pháp kinh tế.",Phòng ba người, đơn giản và hiệu quả.
1044,261,Family Quad Room,4,5,1700000,1530000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1045,262,Deluxe Double/Twin Ocean View,2,15,2200000,1980000,"View biển (Bãi Sau), tiện nghi 4 sao, gần khu ẩm thực.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
1046,262,Executive Room with Balcony,2,10,3000000,2700000,"Ban công hướng biển, tiện nghi nâng cấp, có bàn làm việc.",Phòng thoải mái, đủ tiện nghi cho công tác hoặc du lịch.
1047,262,Dic Star Suite,3,5,4500000,4050000,"Phòng khách nhỏ, nội thất tinh tế, bồn tắm lớn, dịch vụ phòng 24/7.",Căn suite với không gian sống rộng rãi, thiết kế hiện đại.
1048,262,Family Connecting Rooms,4,3,5800000,5220000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
1049,263,Standard Double Room,2,15,850000,765000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần trung tâm hành chính.",Phòng cơ bản, sạch sẽ, giá rẻ.
1050,263,Superior Twin Room,2,10,1150000,1035000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1051,263,Triple Room,3,5,1450000,1305000,"3 người, tiện nghi cơ bản, giải pháp kinh tế.",Phòng ba người, đơn giản và hiệu quả.
1052,263,Family Quad Room,4,3,1850000,1665000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1053,264,Deluxe Room Ocean View,2,10,3500000,3150000,"Nằm trên sườn đồi, view biển đẹp, khu vực yên tĩnh.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
1054,264,Executive Bungalow,2,8,5000000,4500000,"Bungalow riêng biệt, view biển, không gian lãng mạn.",Phòng riêng tư, gần gũi thiên nhiên.
1055,264,Seaside Suite,3,5,7500000,6750000,"Phòng khách riêng biệt, giường cỡ King, tiện nghi nâng cấp.",Căn suite rộng rãi, lý tưởng cho khách công tác hoặc gia đình nhỏ.
1056,264,Connecting Rooms,4,3,9000000,8100000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
1057,265,Standard Double Room,2,20,600000,540000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần khu dân cư.",Phòng cơ bản, sạch sẽ, giá siêu rẻ.
1058,265,Twin Room with Window,2,15,800000,720000,"Phòng có cửa sổ, 2 giường đơn, sạch sẽ.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1059,265,Triple Room,3,10,1100000,990000,"3 người, tiện nghi cơ bản, tiết kiệm chi phí.",Phòng ba người, đơn giản và hiệu quả.
1060,265,Family Quad Room,4,5,1500000,1350000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1061,266,Deluxe Room Garden View,2,12,3000000,2700000,"Sát biển Hồ Cốc, rừng dương, bãi biển riêng.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
1062,266,Bungalow Ocean View,2,8,4500000,4050000,"Bungalow riêng biệt, view biển, không gian thoáng đãng.",Phòng riêng tư, gần gũi thiên nhiên.
1063,266,Family Suite,4,5,6500000,5850000,"2 phòng ngủ riêng biệt, khu vực sinh hoạt chung, phù hợp gia đình.",Căn suite gia đình rộng rãi, tiện nghi.
1064,266,Beachfront Pool Villa (2-Bedroom),4,3,10000000,9000000,"Villa 2 phòng ngủ, hồ bơi riêng, vị trí sát biển, quản gia riêng.",Biệt thự sang trọng, lý tưởng cho nhóm nhỏ.
1065,267,Deluxe Room Garden View,2,15,2800000,2520000,"Khu nghỉ dưỡng yên tĩnh, dịch vụ thư giãn, gần biển Hồ Cốc.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
1066,267,Bungalow Ocean View,2,10,4000000,3600000,"Bungalow riêng biệt, view biển, không gian lãng mạn.",Phòng riêng tư, gần gũi thiên nhiên.
1067,267,Family Room,4,5,5500000,4950000,"4 người, 2 giường đôi, phòng rộng rãi, tiện nghi gia đình.",Phù hợp cho gia đình.
1068,267,Connecting Rooms,4,3,7000000,6300000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
1069,268,Two-Bedroom Pool Villa,4,8,8000000,7200000,"Villa 2 phòng ngủ, hồ bơi riêng, phòng khách/ăn lớn, bếp nhỏ.",Lý tưởng cho gia đình 4 người, tận hưởng tiện ích biệt thự cao cấp.
1070,268,Three-Bedroom Garden View Villa,6,5,12000000,10800000,"Villa 3 phòng ngủ, hồ bơi riêng, không gian rất lớn, sân vườn.",Biệt thự lớn, phù hợp cho nhiều gia đình.
1071,268,Luxury Villa with Beach Access,6,3,18000000,16200000,"Villa 3 phòng ngủ, hồ bơi riêng, lối đi thẳng ra biển, dịch vụ cao cấp.",Trải nghiệm nghỉ dưỡng biệt thự xa xỉ.
1072,268,Four-Bedroom Grand Villa,8,2,25000000,22500000,"Villa 4 phòng ngủ, hồ bơi lớn, tiện nghi xa hoa, quản gia riêng.",Biệt thự lớn nhất, phục vụ nhóm khách VIP.
1073,269,Double Room (Near Beach),2,15,600000,540000,"Phòng riêng nhỏ, gần biển, không gian yên tĩnh, trải nghiệm địa phương.",Phòng homestay nhỏ gọn, gần gũi thiên nhiên.
1074,269,Twin Room (Shared Bathroom),2,10,400000,360000,"2 giường đơn, phòng tắm chung, tiết kiệm chi phí.",Phòng tiêu chuẩn, thích hợp cho khách du lịch ba lô.
1075,269,Family Room,4,5,1200000,1080000,"4 người, 2 giường đôi, phòng rộng rãi, tiện nghi gia đình.",Phù hợp cho gia đình.
1076,269,Dormitory Bed (Shared),1,5,200000,180000,"Giường tầng, tủ khóa, phòng tắm chung, giá cực rẻ.",Phòng nghỉ tập thể siêu rẻ.
1077,270,Standard Double Room,2,20,550000,495000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần khu ẩm thực địa phương.",Phòng cơ bản, sạch sẽ, giá siêu rẻ.
1078,270,Twin Room with Window,2,15,750000,675000,"Phòng có cửa sổ, 2 giường đơn, sạch sẽ.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1079,270,Triple Room,3,10,1000000,900000,"3 người, tiện nghi cơ bản, tiết kiệm chi phí.",Phòng ba người, đơn giản và hiệu quả.
1080,270,Family Quad Room,4,5,1300000,1170000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
Tuyệt vời! Tôi sẽ tiếp tục bổ sung 80 dòng nữa (4 loại phòng cho mỗi 20 cơ sở lưu trú từ ID 271 đến ID 290) vào file CSV RoomTypes.csv của bạn.

Lần này, dữ liệu sẽ tập trung hoàn toàn vào các cơ sở lưu trú tại Đà Lạt, bao gồm khu vực Trung tâm (Phường 1, 3, 10), khu vực Ga/Đồi thông, và khu vực Thung lũng Tình Yêu/Thác Cam Ly.

Tôi sẽ tiếp tục sử dụng cột quantity ngay sau cột capacity.

Bổ sung vào File CSV: RoomTypes.csv (Cột 'quantity' được giữ lại)
Code snippet

room_type_id,accommodation_id,name,capacity,quantity,price,discount_price,amenities,description
1081,271,Superior Room Garden View,2,15,5500000,4950000,"Kiến trúc Pháp sang trọng, view vườn, tiện nghi 5 sao, gần Hồ Xuân Hương.",Phòng nghỉ tiêu chuẩn, sang trọng, nội thất cổ điển.
1082,271,Deluxe Room Lake View,2,10,7500000,6750000,"View Hồ Xuân Hương tuyệt đẹp, bồn tắm cổ điển, lò sưởi.",Phòng có tầm nhìn đắt giá, mang lại trải nghiệm độc đáo.
1083,271,Heritage Suite,3,5,12000000,10800000,"Phòng khách riêng biệt, giường cỡ King, tiện nghi cao cấp, quản gia riêng.",Căn suite sang trọng, phong cách hoàng gia.
1084,271,Presidential Suite,4,2,25000000,22500000,"2 phòng ngủ, phòng ăn riêng, tiện nghi xa xỉ, tầm nhìn toàn cảnh.",Trải nghiệm nghỉ dưỡng đỉnh cao.
1085,272,Standard Room Garden View,2,15,2500000,2250000,"Kiến trúc cổ điển, view vườn/rừng thông, không gian yên tĩnh.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
1086,272,Deluxe Room with Balcony,2,10,3800000,3420000,"Ban công nhỏ, view đẹp, tiện nghi nâng cấp nhẹ, yên tĩnh.",Phòng thoải mái, đủ tiện nghi cho công tác hoặc du lịch.
1087,272,Mercure Suite,3,5,6000000,5400000,"Phòng khách nhỏ, nội thất tinh tế, phù hợp gia đình.",Căn suite với không gian sống và nghỉ ngơi tách biệt.
1088,272,Family Connecting Rooms,4,3,7500000,6750000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
1089,273,Standard Double/Twin,2,18,1500000,1350000,"Phong cách cổ điển, nằm ngay trung tâm, gần chợ Đà Lạt.",Phòng nghỉ tiêu chuẩn, sạch sẽ, giá hợp lý.
1090,273,Superior Room with Window,2,12,2000000,1800000,"Phòng có cửa sổ, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1091,273,Triple Room,3,8,2800000,2520000,"3 người, tiện nghi cơ bản, giải pháp kinh tế cho nhóm 3.",Phòng ba người, đơn giản và hiệu quả.
1092,273,Family Quad Room,4,5,3500000,3150000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1093,274,Deluxe Room City View,2,15,2200000,1980000,"Tiện nghi 4 sao, view thành phố, vị trí đắc địa.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
1094,274,Premium Deluxe Lake View,2,10,3500000,3150000,"View Hồ Xuân Hương tuyệt đẹp, tiện nghi nâng cấp, ban công.",Phòng có tầm nhìn đẹp, mang lại không gian thoải mái.
1095,274,Ngọc Lan Suite,3,5,5000000,4500000,"Phòng khách nhỏ, giường cỡ King, tiện nghi nâng cấp.",Căn suite rộng rãi, lý tưởng cho khách công tác hoặc gia đình nhỏ.
1096,274,Family Connecting Room,4,3,6500000,5850000,"2 phòng thông nhau, 2 phòng tắm, tiện ích đầy đủ cho gia đình.",Giải pháp lưu trú cho gia đình lớn.
1097,275,Studio Room,2,10,1800000,1620000,"Thiết kế hiện đại, gần khu vực chợ đêm, tiện nghi cơ bản.",Phòng studio nhỏ gọn, phù hợp cho cặp đôi.
1098,275,Deluxe Room with Balcony,2,8,2500000,2250000,"Ban công nhỏ hướng phố, tiện nghi nâng cấp, có bàn làm việc.",Phòng thoải mái, đủ tiện nghi cho công tác hoặc du lịch.
1099,275,The Dalat Suite,3,5,4000000,3600000,"Phòng khách nhỏ, nội thất tinh tế, phù hợp gia đình.",Căn suite với không gian sống và nghỉ ngơi tách biệt.
1100,275,Family Connecting Rooms,4,3,5500000,4950000,"2 phòng Studio thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
1101,276,Studio Train View,2,10,1500000,1350000,"Phòng studio nhỏ, thiết kế liên quan đến xe lửa, gần Ga Đà Lạt.",Phòng studio độc đáo, phù hợp cho cặp đôi.
1102,276,Train Villa (1-Bedroom),2,8,2500000,2250000,"Villa 1 phòng ngủ, phòng khách nhỏ, không gian riêng tư.",Căn biệt thự nhỏ, riêng tư.
1103,276,Train Family Villa (2-Bedroom),4,5,4000000,3600000,"2 phòng ngủ riêng, phòng khách nhỏ, thiết kế độc đáo.",Lý tưởng cho gia đình 4 người.
1104,276,Family Connecting Rooms,4,3,5500000,4950000,"2 phòng Studio thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
1105,277,Double Room (Vintage Decor),2,12,800000,720000,"Phòng riêng nhỏ, thiết kế vintage, gần khu vực Ga tàu cổ.",Phòng homestay nhỏ gọn, gần gũi thiên nhiên.
1106,277,Twin Room (Shared Bathroom),2,8,600000,540000,"2 giường đơn, phòng tắm chung, tiết kiệm chi phí.",Phòng tiêu chuẩn, thích hợp cho khách du lịch ba lô.
1107,277,Family Room,4,5,1500000,1350000,"4 người, 2 giường đôi, phòng rộng rãi, tiện nghi gia đình.",Phù hợp cho gia đình.
1108,277,Dormitory Bed (Shared),1,5,300000,270000,"Giường tầng, tủ khóa, phòng tắm chung, giá cực rẻ.",Phòng nghỉ tập thể siêu rẻ.
1109,278,Colonial Deluxe Room,2,12,5000000,4500000,"Biệt thự cổ kính, tiện nghi 5 sao, nằm trên đồi thông, yên tĩnh.",Phòng nghỉ tiêu chuẩn, sang trọng, nội thất cổ điển.
1110,278,Heritage Villa (1-Bedroom),2,8,8000000,7200000,"Villa 1 phòng ngủ, phòng khách riêng, lò sưởi, không gian riêng tư.",Căn biệt thự nhỏ, riêng tư, lãng mạn.
1111,278,Ana Mandara Villa (3-Bedroom),6,5,18000000,16200000,"Villa 3 phòng ngủ, lò sưởi, bếp nhỏ, quản gia chung.",Lý tưởng cho nhóm bạn hoặc gia đình đông người.
1112,278,Presidential Villa,8,2,30000000,27000000,"4 phòng ngủ, phòng ăn riêng, tiện nghi xa xỉ, quản gia riêng.",Biệt thự lớn nhất, phục vụ nhóm khách VIP.
1113,279,Standard Double Room,2,20,600000,540000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần khu vực Ga Đà Lạt.",Phòng cơ bản, sạch sẽ, giá siêu rẻ.
1114,279,Twin Room with Window,2,15,800000,720000,"Phòng có cửa sổ, 2 giường đơn, sạch sẽ.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1115,279,Triple Room,3,10,1100000,990000,"3 người, tiện nghi cơ bản, tiết kiệm chi phí.",Phòng ba người, đơn giản và hiệu quả.
1116,279,Family Quad Room,4,5,1500000,1350000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1117,280,Deluxe Room Garden View,2,12,2800000,2520000,"Khu nghỉ dưỡng biệt thự, nhiều cây xanh, không gian lãng mạn.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
1118,280,Bungalow Ocean View,2,8,4000000,3600000,"Bungalow riêng biệt, view vườn/rừng thông, không gian thoáng đãng.",Phòng riêng tư, gần gũi thiên nhiên.
1119,280,Cadasa Villa (2-Bedroom),4,5,7000000,6300000,"Villa 2 phòng ngủ, lò sưởi, phòng khách/ăn lớn, bếp nhỏ.",Lý tưởng cho gia đình 4 người, tận hưởng tiện ích biệt thự cao cấp.
1120,280,Family Connecting Rooms,4,3,9000000,8100000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
1121,281,Tent (Standard),2,20,500000,450000,"Lều cắm trại tiêu chuẩn, trang bị cơ bản, trải nghiệm thiên nhiên.",Lều giá rẻ, phù hợp cho khách du lịch ba lô.
1122,281,Glamping Tent (Deluxe),2,15,800000,720000,"Lều glamping, nệm êm, điện, trải nghiệm thiên nhiên thoải mái hơn.",Lều cao cấp hơn, tiện nghi hơn.
1123,281,Bungalow (Private),4,10,1500000,1350000,"Bungalow nhỏ, tiện nghi cơ bản, phục vụ nhóm gia đình.",Phù hợp cho gia đình.
1124,281,Family Cabin,6,5,2500000,2250000,"Cabin gỗ nhỏ, tiện nghi cơ bản, phục vụ nhóm gia đình lớn.",Phòng nghỉ tập thể nhỏ.
1125,282,Deluxe Room Garden View,2,15,1800000,1620000,"Khu nghỉ dưỡng có tầm nhìn đẹp, gần Thung lũng Tình Yêu.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái.
1126,282,Bungalow Mountain View,2,10,2500000,2250000,"Bungalow riêng biệt, view đồi núi, không gian thoáng đãng.",Phòng riêng tư, gần gũi thiên nhiên.
1127,282,Family Suite,4,5,4000000,3600000,"2 phòng ngủ riêng biệt, khu vực sinh hoạt chung, phù hợp gia đình.",Căn suite gia đình rộng rãi, tiện nghi.
1128,282,Connecting Rooms,4,3,5500000,4950000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
1129,283,Standard Double Room,2,18,900000,810000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần khu vực ngoại ô.",Phòng cơ bản, sạch sẽ, giá rẻ.
1130,283,Superior Twin Room,2,12,1200000,1080000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1131,283,Triple Room,3,8,1600000,1440000,"3 người, tiện nghi cơ bản, giải pháp kinh tế.",Phòng ba người, đơn giản và hiệu quả.
1132,283,Family Quad Room,4,5,2000000,1800000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1133,284,Double Room (Cozy Decor),2,10,800000,720000,"Phòng riêng nhỏ, thiết kế ấm cúng, gần khu vực Thung lũng Tình Yêu.",Phòng homestay nhỏ gọn, gần gũi thiên nhiên.
1134,284,Twin Room (Shared Bathroom),2,8,600000,540000,"2 giường đơn, phòng tắm chung, tiết kiệm chi phí.",Phòng tiêu chuẩn, thích hợp cho khách du lịch ba lô.
1135,284,Family Room,4,5,1500000,1350000,"4 người, 2 giường đôi, phòng rộng rãi, tiện nghi gia đình.",Phù hợp cho gia đình.
1136,284,Dormitory Bed (Shared),1,5,300000,270000,"Giường tầng, tủ khóa, phòng tắm chung, giá cực rẻ.",Phòng nghỉ tập thể siêu rẻ.
1137,285,Standard Double Room,2,20,600000,540000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, phục vụ khách du lịch tham quan.",Phòng cơ bản, sạch sẽ, giá siêu rẻ.
1138,285,Twin Room with Window,2,15,800000,720000,"Phòng có cửa sổ, 2 giường đơn, sạch sẽ.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1139,285,Triple Room,3,10,1100000,990000,"3 người, tiện nghi cơ bản, tiết kiệm chi phí.",Phòng ba người, đơn giản và hiệu quả.
1140,285,Family Quad Room,4,5,1500000,1350000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1141,286,Standard Double Room,2,20,500000,450000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần khu vực Thác Cam Ly.",Phòng cơ bản, sạch sẽ, giá siêu rẻ.
1142,286,Twin Room with Window,2,15,700000,630000,"Phòng có cửa sổ, 2 giường đơn, sạch sẽ.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1143,286,Triple Room,3,10,900000,810000,"3 người, tiện nghi cơ bản, tiết kiệm chi phí.",Phòng ba người, đơn giản và hiệu quả.
1144,286,Family Quad Room,4,5,1200000,1080000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1145,287,Double Room (Cozy Decor),2,10,1000000,900000,"Phòng riêng nhỏ, thiết kế ấm cúng, view thung lũng gần thác Cam Ly.",Phòng homestay nhỏ gọn, gần gũi thiên nhiên.
1146,287,Twin Room with View,2,8,1300000,1170000,"2 giường đơn, có view thung lũng, sạch sẽ.",Phòng tiêu chuẩn, có tầm nhìn.
1147,287,Family Cabin,4,5,2000000,1800000,"Cabin gỗ nhỏ, tiện nghi cơ bản, phục vụ nhóm gia đình.",Phù hợp cho gia đình.
1148,287,Dormitory Bed (Shared),1,5,400000,360000,"Giường tầng, tủ khóa, phòng tắm chung, giá cực rẻ.",Phòng nghỉ tập thể siêu rẻ.
1149,288,Standard Double Room,2,15,800000,720000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, gần khu du lịch.",Phòng cơ bản, sạch sẽ, giá rẻ.
1150,288,Superior Twin Room,2,10,1100000,990000,"Phòng rộng hơn Standard, sạch sẽ, tiện nghi cơ bản.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1151,288,Triple Room,3,5,1400000,1260000,"3 người, tiện nghi cơ bản, giải pháp kinh tế.",Phòng ba người, đơn giản và hiệu quả.
1152,288,Family Quad Room,4,3,1800000,1620000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1153,289,Standard Double Room,2,20,500000,450000,"Wifi, TV, điều hòa, phòng tắm nhỏ, cơ bản, nằm ở khu vực ngoại ô gần thác.",Phòng cơ bản, sạch sẽ, giá siêu rẻ.
1154,289,Twin Room with Window,2,15,700000,630000,"Phòng có cửa sổ, 2 giường đơn, sạch sẽ.",Phòng tiêu chuẩn, đủ tiện nghi cơ bản.
1155,289,Triple Room,3,10,900000,810000,"3 người, tiện nghi cơ bản, tiết kiệm chi phí.",Phòng ba người, đơn giản và hiệu quả.
1156,289,Family Quad Room,4,5,1200000,1080000,"4 người, 2 giường đôi, không gian đủ dùng.",Phòng gia đình kinh tế.
1157,290,Double Room (View Đồi Trăng),2,10,1000000,900000,"Phòng riêng nhỏ, view đồi thông, không gian yên tĩnh.",Phòng homestay nhỏ gọn, gần gũi thiên nhiên.
1158,290,Twin Room with View,2,8,1300000,1170000,"2 giường đơn, có view đồi thông, sạch sẽ.",Phòng tiêu chuẩn, có tầm nhìn.
1159,290,Family Cabin,4,5,2000000,1800000,"Cabin gỗ nhỏ, tiện nghi cơ bản, phục vụ nhóm gia đình.",Phù hợp cho gia đình.
1160,290,Connecting Rooms,4,3,2500000,2250000,"2 phòng Double thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
1161,291,Deluxe Room Garden View,2,15,3000000,2700000,"Ven hồ Tuyền Lâm, tiện nghi 4 sao, có rừng thông, yên tĩnh.",Phòng nghỉ tiêu chuẩn, sạch sẽ, thoải mái, gần gũi thiên nhiên.
1162,291,Studio Lake View,2,10,4500000,4050000,"Studio rộng rãi, view Hồ Tuyền Lâm tuyệt đẹp, ban công lớn.",Phòng dành cho khách muốn không gian thoáng đãng và riêng tư.
1163,291,Terracotta Villa (2-Bedroom),4,5,8000000,7200000,"Villa 2 phòng ngủ, phòng khách/ăn lớn, bếp nhỏ (tùy căn), lò sưởi.",Lý tưởng cho gia đình 4 người, tận hưởng tiện ích biệt thự.
1164,291,Family Connecting Rooms,4,3,9500000,8550000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
1165,292,Deluxe Room Golf View,2,12,3200000,2880000,"View sân golf, kiến trúc châu Âu, nằm trên đồi, yên tĩnh.",Phòng nghỉ tiêu chuẩn, sang trọng.
1166,292,Swiss-Belresort Suite,2,8,5000000,4500000,"Phòng khách riêng, giường cỡ King, tiện nghi cao cấp, ban công lớn.",Căn suite rộng rãi, lý tưởng cho khách công tác hoặc gia đình nhỏ.
1167,292,Swiss-Bel Villa (2-Bedroom),4,5,9000000,8100000,"Villa 2 phòng ngủ, lò sưởi, phòng khách/ăn lớn, bếp nhỏ.",Lý tưởng cho gia đình 4 người, tận hưởng tiện ích biệt thự cao cấp.
1168,292,Family Connecting Rooms,4,3,10500000,9450000,"2 phòng Deluxe thông nhau, tiện nghi đầy đủ.",Lựa chọn tối ưu cho gia đình.
